,date,open,high,low,close,volume
5,2019-05-13,31.77,32.07,30.95,31.44,1737413.0
6,2019-05-14,31.55,32.11,31.38,31.93,1089075.0
7,2019-05-15,31.53,32.46,31.49,32.32,821388.0
8,2019-05-16,38.45,38.96,38.23,38.48,979834.0
9,2019-05-17,37.87,38.65,37.81,38.26,961164.0
10,2019-05-20,39.49,39.65,38.78,39.38,1170507.0
11,2019-05-21,39.84,40.44,39.73,40.13,821920.0
12,2019-05-22,39.72,39.95,39.26,39.31,911336.0
13,2019-05-23,38.68,38.83,38.25,38.64,1096917.0
14,2019-05-24,38.78,39.17,38.42,38.49,754195.0
15,2019-05-28,38.48,38.84,38.27,38.33,797569.0
16,2019-05-29,37.96,38.57,37.86,38.15,916654.0
17,2019-05-30,38.28,38.55,38.00,38.35,668341.0
18,2019-05-31,37.89,38.28,37.64,37.65,787516.0
19,2019-06-03,37.76,38.27,36.62,37.27,1274841.0
20,2019-06-04,37.74,38.68,37.54,38.64,952267.0
21,2019-06-05,39.63,39.79,38.96,39.26,918440.0
22,2019-06-06,39.38,39.89,39.17,39.84,629668.0
23,2019-06-07,40.13,41.28,39.96,40.90,975371.0
24,2019-06-10,41.35,42.02,41.21,41.42,847312.0
25,2019-06-11,41.91,42.16,41.64,41.90,793375.0
26,2019-06-12,41.72,42.15,41.59,41.77,572321.0
27,2019-06-13,41.88,42.33,41.64,41.76,631151.0
28,2019-06-14,41.22,41.64,40.93,41.46,553323.0
29,2019-06-17,41.49,41.94,41.33,41.70,434639.0
30,2019-06-18,42.16,43.08,41.99,42.68,820999.0
31,2019-06-19,42.95,42.99,42.44,42.56,614258.0
32,2019-06-20,43.10,43.15,42.59,42.90,605061.0
33,2019-06-21,42.68,43.20,42.62,42.75,829148.0
34,2019-06-24,42.72,43.05,42.62,42.71,440093.0
35,2019-06-25,42.72,42.86,42.01,42.06,561744.0
36,2019-06-26,42.57,43.23,42.45,42.97,738453.0
37,2019-06-27,43.08,43.35,42.93,42.96,511424.0
38,2019-06-28,42.73,42.91,42.38,42.57,665116.0
39,2019-07-01,43.70,43.98,43.16,43.35,783564.0
40,2019-07-02,43.33,43.69,43.31,43.60,546162.0
41,2019-07-03,43.71,43.97,43.60,43.96,306436.0
42,2019-07-05,43.74,44.11,43.64,43.93,509900.0
43,2019-07-08,43.23,43.32,42.68,43.02,740978.0
44,2019-07-09,42.86,43.34,42.76,43.28,581152.0
45,2019-07-10,43.44,43.82,43.35,43.71,526428.0
46,2019-07-11,43.72,43.96,43.39,43.39,543369.0
47,2019-07-12,43.56,43.88,43.49,43.73,526320.0
48,2019-07-15,43.90,44.28,43.88,44.14,484818.0
49,2019-07-16,44.04,44.33,43.77,43.99,483851.0
50,2019-07-17,43.93,44.11,43.72,43.74,391684.0
51,2019-07-18,43.88,44.28,43.82,44.24,527729.0
52,2019-07-19,44.26,44.42,43.53,43.57,575113.0
53,2019-07-22,43.82,44.57,43.79,44.57,644214.0
54,2019-07-23,44.82,44.93,44.59,44.92,505511.0
55,2019-07-24,44.63,44.99,44.56,44.88,437199.0
56,2019-07-25,44.89,45.00,44.46,44.53,402435.0
57,2019-07-26,44.61,45.11,44.55,44.68,501395.0
58,2019-07-29,44.83,45.31,44.82,45.10,636801.0
59,2019-07-30,44.91,45.20,44.59,44.91,840198.0
60,2019-07-31,46.55,47.61,45.45,45.82,2178140.0
61,2019-08-01,46.06,46.90,44.47,44.83,1755908.0
62,2019-08-02,44.14,44.40,43.37,43.88,1223744.0
63,2019-08-05,42.61,42.73,41.42,41.58,1502614.0
64,2019-08-06,42.22,42.60,41.73,42.37,1109768.0
65,2019-08-07,42.05,42.92,41.69,42.81,999724.0
66,2019-08-08,43.09,43.78,42.88,43.75,756583.0
67,2019-08-09,43.46,43.78,43.03,43.39,745092.0
68,2019-08-12,43.07,43.63,43.00,43.28,672365.0
69,2019-08-13,43.40,45.80,43.36,45.12,1501759.0
70,2019-08-14,43.88,44.57,43.74,43.78,1051375.0
71,2019-08-15,43.93,44.29,43.11,43.56,832966.0
72,2019-08-16,44.10,44.73,44.01,44.58,836504.0
73,2019-08-19,45.49,45.93,45.34,45.41,750266.0
74,2019-08-20,45.51,46.06,45.41,45.42,744946.0
75,2019-08-21,45.98,46.13,45.69,45.91,650860.0
76,2019-08-22,46.03,46.30,45.50,45.87,665876.0
77,2019-08-23,45.21,45.78,43.39,43.75,1396305.0
78,2019-08-26,44.45,44.73,44.27,44.58,786006.0
79,2019-08-27,44.88,45.02,43.94,44.08,659148.0
80,2019-08-28,44.08,44.42,43.90,44.38,469926.0
81,2019-08-29,45.05,45.19,44.62,45.13,637496.0
82,2019-08-30,45.38,45.44,44.74,45.07,562913.0
83,2019-09-03,44.57,44.69,44.09,44.41,611524.0
84,2019-09-04,44.99,45.23,44.76,45.16,507273.0
85,2019-09-05,45.76,46.19,45.66,46.05,667231.0
86,2019-09-06,46.20,46.30,45.88,46.04,546756.0
87,2019-09-09,46.39,46.73,45.57,46.24,738047.0
88,2019-09-10,46.16,46.80,45.71,46.79,869951.0
89,2019-09-11,47.07,48.29,47.01,48.27,1364872.0
90,2019-09-12,48.53,48.89,48.11,48.17,925486.0
91,2019-09-13,47.51,47.67,46.86,47.23,1176572.0
92,2019-09-16,47.01,47.53,46.97,47.48,598323.0
93,2019-09-17,47.47,47.68,47.31,47.65,509862.0
94,2019-09-18,47.74,48.11,47.38,48.10,773863.0
95,2019-09-19,47.96,48.31,47.58,47.71,671055.0
96,2019-09-20,47.80,48.05,46.95,47.01,1048576.0
97,2019-09-23,47.26,47.47,46.99,47.22,537435.0
