No,date,open,high,low,close,volume
5,13/05/2019,83.66,84.61,82.92,83.13,250775
6,14/05/2019,83.47,84.83,83.36,84.06,184430
7,15/05/2019,83.83,85.71,83.67,85.24,181990
8,16/05/2019,102.52,104.67,102.31,104.31,218269
9,17/05/2019,103.78,105.54,103.48,103.61,199211
10,20/05/2019,108.74,109.66,108.09,108.49,161435
11,21/05/2019,109.54,109.61,108.8,109.07,105339
12,22/05/2019,108.77,110.22,108.74,109.73,112625
13,23/05/2019,108.53,108.55,107.22,108.45,174196
14,24/05/2019,109.1,109.52,108.27,108.5,108335
15,28/05/2019,109.1,110.02,108.34,108.43,137348
16,29/05/2019,107.76,107.77,106.61,107.39,166227
17,30/05/2019,107.66,108.09,107.25,108.07,133919
18,31/05/2019,106.78,107.11,105.99,106.3,170136
19,03/06/2019,106.49,106.9,102.29,103,287523
20,04/06/2019,104.23,105.96,103.7,105.86,208275
21,05/06/2019,107.4,108.18,106.76,108.15,180063
22,06/06/2019,108.57,109.99,107.95,109.86,154651
23,07/06/2019,110.76,113.67,110.24,112.94,263407
24,10/06/2019,113.96,115.24,113.46,113.97,208383
25,11/06/2019,115.08,115.38,112.82,113.54,159870
26,12/06/2019,112.94,113.43,112.35,113.02,124592
27,13/06/2019,113.44,114.03,113.07,113.73,132839
28,14/06/2019,113.68,114.55,113.14,113.84,122588
29,17/06/2019,113.97,114.94,113.91,114.18,98099
30,18/06/2019,115.27,116.24,114.81,116.17,191626
31,19/06/2019,116.12,116.83,115.01,116.62,155260
32,20/06/2019,118.14,118.32,116.65,117.71,196007
33,21/06/2019,117.35,118.38,117.29,117.72,226658
34,24/06/2019,117.95,118.96,117.75,118.42,133190
35,25/06/2019,118.07,118.26,114.08,114.68,258511
36,26/06/2019,115.52,116.67,114.83,115.11,156889
37,27/06/2019,115.39,115.78,114.75,115.3,114682
38,28/06/2019,115.66,115.69,114.44,115.14,143501
39,01/07/2019,117.31,117.49,116.01,116.62,159437
40,02/07/2019,116.91,117.4,116.33,117.39,107589
41,03/07/2019,117.55,118.39,117.14,118.14,93104
42,05/07/2019,116.8,118.04,116.65,117.8,128348
43,08/07/2019,117.05,117.84,116.35,117.72,119127
44,09/07/2019,116.93,117.72,116.72,117.29,140593
45,10/07/2019,117.93,119.11,117.77,118.48,162160
46,11/07/2019,118.79,119.66,118.5,118.96,172593
47,12/07/2019,119.37,119.58,118.61,119.39,133131
48,15/07/2019,119.95,119.95,119.01,119.39,116019
49,16/07/2019,119.37,119.51,117.34,117.82,177312
50,17/07/2019,118.31,118.55,117.08,117.12,145850
51,18/07/2019,116.53,117.43,115.75,117.26,203011
52,19/07/2019,120.51,120.91,117.28,117.43,360884
53,22/07/2019,118.09,119.63,118.04,118.98,171833
54,23/07/2019,120.23,120.32,118.64,119.72,135035
55,24/07/2019,119.36,120.97,119.34,120.95,135196
56,25/07/2019,120.58,120.85,119.74,120.49,136859
57,26/07/2019,120.65,121.77,120.59,121.48,119976
58,29/07/2019,121.66,121.66,119.78,121.22,110786
59,30/07/2019,120.41,121.38,120.16,120.63,117962
60,31/07/2019,120.55,120.75,116.1,117.12,282000
61,01/08/2019,117.73,121.14,117.69,118.66,318172
62,02/08/2019,118.67,118.96,116.26,117.67,235368
63,05/08/2019,114.46,115.11,112.4,113.64,306703
64,06/08/2019,115.02,116.62,114.49,115.77,216204
65,07/08/2019,115,116.59,113.3,116.27,222081
66,08/08/2019,117.41,119.46,116.83,119.38,186652
67,09/08/2019,119.14,119.8,117.29,118.36,170815
68,12/08/2019,117.84,118.49,116.24,116.71,130602
69,13/08/2019,116.83,119.3,116.02,119.13,188447
70,14/08/2019,117.5,118.07,115.27,115.54,209769
71,15/08/2019,115.55,116.06,114.05,115.28,193707
72,16/08/2019,116.38,117.68,116.18,117.4,178885
73,19/08/2019,118.82,119.48,118.04,119.36,169803
74,20/08/2019,119.19,119.62,118.35,118.37,124788
75,21/08/2019,119.45,120.3,119.01,119.69,106316
76,22/08/2019,119.62,120.04,117.53,118.82,136706
77,23/08/2019,118.23,119.31,114.52,115.03,277127
78,26/08/2019,116.43,116.9,115.47,116.81,135517
79,27/08/2019,117.61,117.9,116.12,117.06,135478
80,28/08/2019,116.37,117.08,115.17,116.9,122573
81,29/08/2019,118.36,119.39,118.07,119.11,140786
82,30/08/2019,120,120.02,117.51,118.89,148475
83,03/09/2019,117.73,118.32,117.02,117.32,134514
84,04/09/2019,118.4,118.74,117.69,118.69,125377
85,05/09/2019,119.95,121.07,119.66,120.77,177373
86,06/09/2019,120.74,120.89,119.18,119.95,146281
87,09/09/2019,120.38,120.52,117.68,118.59,187088
88,10/09/2019,117.93,118.05,116,117.35,195097
89,11/09/2019,117.19,117.51,116.5,117.39,164755
90,12/09/2019,118.88,119.37,118.03,118.59,180149
91,13/09/2019,118.84,119.06,117.77,118.42,132972
92,16/09/2019,117.16,117.89,116.99,117.57,89247
93,17/09/2019,118.11,118.59,117.65,118.48,110734
94,18/09/2019,118.51,119.58,117.73,119.46,154805
95,19/09/2019,120.99,122.77,120.79,121.66,272389
96,20/09/2019,121.59,122.15,119.22,120.25,277915
97,23/09/2019,120.1,120.41,119.39,119.99,106726
98,24/09/2019,121.03,121.33,118.04,118.47,201997
